scope,condition,epsilon,seed,subject,regime,model,balanced_accuracy,macro_f1,advantage_over_chance,session_accuracy
utility,analytic_gaussian,0.5,456,3,,personalized_logistic_regression,0.19791666666666666,0.19564578193610452,,
utility,analytic_gaussian,0.5,456,4,,personalized_logistic_regression,0.2534722222222222,0.2543835443835444,,
utility,analytic_gaussian,0.5,456,5,,personalized_logistic_regression,0.2222222222222222,0.22253063219690855,,
utility,analytic_gaussian,0.5,456,6,,personalized_logistic_regression,0.23958333333333334,0.23672418229188852,,
utility,analytic_gaussian,0.5,456,7,,personalized_logistic_regression,0.19444444444444445,0.19160646714826282,,
utility,analytic_gaussian,0.5,456,8,,personalized_logistic_regression,0.22222222222222224,0.22047989259565726,,
utility,analytic_gaussian,0.5,456,9,,personalized_logistic_regression,0.22569444444444442,0.226477687507359,,
utility,task_weighted_empirical,0.5,456,1,,personalized_logistic_regression,0.2569444444444444,0.2556113413778589,,
utility,task_weighted_empirical,0.5,456,2,,personalized_logistic_regression,0.2569444444444444,0.2554189278181795,,
utility,task_weighted_empirical,0.5,456,3,,personalized_logistic_regression,0.2986111111111111,0.29863773641275204,,
utility,task_weighted_empirical,0.5,456,4,,personalized_logistic_regression,0.22569444444444445,0.22307488422103772,,
utility,task_weighted_empirical,0.5,456,5,,personalized_logistic_regression,0.23611111111111113,0.2355317054858568,,
utility,task_weighted_empirical,0.5,456,6,,personalized_logistic_regression,0.23958333333333334,0.23830279189604495,,
utility,task_weighted_empirical,0.5,456,7,,personalized_logistic_regression,0.2465277777777778,0.24622956602162296,,
utility,task_weighted_empirical,0.5,456,8,,personalized_logistic_regression,0.2777777777777778,0.27778969695887773,,
utility,task_weighted_empirical,0.5,456,9,,personalized_logistic_regression,0.2673611111111111,0.2652231970292311,,
utility,analytic_gaussian,0.5,789,1,,personalized_logistic_regression,0.2881944444444444,0.2880991755188762,,
utility,analytic_gaussian,0.5,789,2,,personalized_logistic_regression,0.2847222222222222,0.28484692765268305,,
utility,analytic_gaussian,0.5,789,3,,personalized_logistic_regression,0.26041666666666663,0.2592385218365062,,
utility,analytic_gaussian,0.5,789,4,,personalized_logistic_regression,0.28125,0.27804492480747234,,
utility,analytic_gaussian,0.5,789,5,,personalized_logistic_regression,0.2326388888888889,0.23033851120572685,,
utility,analytic_gaussian,0.5,789,6,,personalized_logistic_regression,0.24305555555555555,0.23906167542529427,,
utility,analytic_gaussian,0.5,789,7,,personalized_logistic_regression,0.2881944444444444,0.2881522154777969,,
utility,analytic_gaussian,0.5,789,8,,personalized_logistic_regression,0.22916666666666666,0.22255853027539185,,
utility,analytic_gaussian,0.5,789,9,,personalized_logistic_regression,0.22916666666666666,0.22802735093007867,,
utility,task_weighted_empirical,0.5,789,1,,personalized_logistic_regression,0.24652777777777776,0.24681810304081628,,
utility,task_weighted_empirical,0.5,789,2,,personalized_logistic_regression,0.2569444444444445,0.2568593361365148,,
utility,task_weighted_empirical,0.5,789,3,,personalized_logistic_regression,0.22569444444444445,0.22559318988609883,,
utility,task_weighted_empirical,0.5,789,4,,personalized_logistic_regression,0.2152777777777778,0.21223680503769987,,
utility,task_weighted_empirical,0.5,789,5,,personalized_logistic_regression,0.21180555555555555,0.2130707601276915,,
utility,task_weighted_empirical,0.5,789,6,,personalized_logistic_regression,0.2604166666666667,0.25591326620738386,,
utility,task_weighted_empirical,0.5,789,7,,personalized_logistic_regression,0.25,0.249632904826352,,
utility,task_weighted_empirical,0.5,789,8,,personalized_logistic_regression,0.2465277777777778,0.2446575529436581,,
utility,task_weighted_empirical,0.5,789,9,,personalized_logistic_regression,0.3055555555555556,0.3019205860686222,,
utility,analytic_gaussian,0.5,101112,1,,personalized_logistic_regression,0.2569444444444444,0.2570238095238095,,
utility,analytic_gaussian,0.5,101112,2,,personalized_logistic_regression,0.2951388888888889,0.29536541160819113,,
utility,analytic_gaussian,0.5,101112,3,,personalized_logistic_regression,0.2013888888888889,0.20114564607548058,,
utility,analytic_gaussian,0.5,101112,4,,personalized_logistic_regression,0.2777777777777778,0.27688131435200847,,
utility,analytic_gaussian,0.5,101112,5,,personalized_logistic_regression,0.24305555555555552,0.24021003043741684,,
utility,analytic_gaussian,0.5,101112,6,,personalized_logistic_regression,0.2743055555555556,0.2737631991521491,,
utility,analytic_gaussian,0.5,101112,7,,personalized_logistic_regression,0.28125,0.28052403249971636,,
utility,analytic_gaussian,0.5,101112,8,,personalized_logistic_regression,0.21875,0.21796998738992981,,
utility,analytic_gaussian,0.5,101112,9,,personalized_logistic_regression,0.3194444444444444,0.3188081778801103,,
utility,task_weighted_empirical,0.5,101112,1,,personalized_logistic_regression,0.3194444444444444,0.318588741256704,,
utility,task_weighted_empirical,0.5,101112,2,,personalized_logistic_regression,0.22916666666666669,0.22924775009449094,,
utility,task_weighted_empirical,0.5,101112,3,,personalized_logistic_regression,0.2013888888888889,0.19912530159164846,,
utility,task_weighted_empirical,0.5,101112,4,,personalized_logistic_regression,0.2534722222222222,0.24770960562474229,,
utility,task_weighted_empirical,0.5,101112,5,,personalized_logistic_regression,0.2534722222222222,0.2518500151998784,,
utility,task_weighted_empirical,0.5,101112,6,,personalized_logistic_regression,0.24652777777777776,0.24692651606244362,,
utility,task_weighted_empirical,0.5,101112,7,,personalized_logistic_regression,0.2638888888888889,0.26362236247647985,,
utility,task_weighted_empirical,0.5,101112,8,,personalized_logistic_regression,0.24652777777777776,0.24653639250761553,,
utility,task_weighted_empirical,0.5,101112,9,,personalized_logistic_regression,0.26736111111111105,0.2660535834583004,,
utility,analytic_gaussian,1.0,42,1,,personalized_logistic_regression,0.2534722222222222,0.25304072014598333,,
utility,analytic_gaussian,1.0,42,2,,personalized_logistic_regression,0.2326388888888889,0.23011922612775754,,
utility,analytic_gaussian,1.0,42,3,,personalized_logistic_regression,0.24305555555555558,0.23895884597242062,,
utility,analytic_gaussian,1.0,42,4,,personalized_logistic_regression,0.24652777777777776,0.24687315933548398,,
utility,analytic_gaussian,1.0,42,5,,personalized_logistic_regression,0.2569444444444445,0.2565739055465083,,
utility,analytic_gaussian,1.0,42,6,,personalized_logistic_regression,0.2569444444444444,0.25664937234837293,,
utility,analytic_gaussian,1.0,42,7,,personalized_logistic_regression,0.24652777777777776,0.24678756827281106,,
utility,analytic_gaussian,1.0,42,8,,personalized_logistic_regression,0.2638888888888889,0.25627143141846775,,
utility,analytic_gaussian,1.0,42,9,,personalized_logistic_regression,0.2465277777777778,0.24606524427953003,,
utility,task_weighted_empirical,1.0,42,1,,personalized_logistic_regression,0.2881944444444444,0.2878012851988144,,
utility,task_weighted_empirical,1.0,42,2,,personalized_logistic_regression,0.2534722222222222,0.25022700099090783,,
utility,task_weighted_empirical,1.0,42,3,,personalized_logistic_regression,0.2604166666666667,0.262519669344545,,
utility,task_weighted_empirical,1.0,42,4,,personalized_logistic_regression,0.2569444444444445,0.25607987505577867,,
utility,task_weighted_empirical,1.0,42,5,,personalized_logistic_regression,0.2673611111111111,0.266828529657477,,
utility,task_weighted_empirical,1.0,42,6,,personalized_logistic_regression,0.23958333333333334,0.23896687241684264,,
utility,task_weighted_empirical,1.0,42,7,,personalized_logistic_regression,0.3125,0.31092920021510284,,
utility,task_weighted_empirical,1.0,42,8,,personalized_logistic_regression,0.25,0.24985747312408216,,
utility,task_weighted_empirical,1.0,42,9,,personalized_logistic_regression,0.2465277777777778,0.24193078746650176,,
utility,analytic_gaussian,1.0,123,1,,personalized_logistic_regression,0.22916666666666669,0.2284776205880933,,
utility,analytic_gaussian,1.0,123,2,,personalized_logistic_regression,0.2916666666666667,0.2910607003160609,,
utility,analytic_gaussian,1.0,123,3,,personalized_logistic_regression,0.1909722222222222,0.1916015162283819,,
utility,analytic_gaussian,1.0,123,4,,personalized_logistic_regression,0.2604166666666667,0.2604058968638334,,
utility,analytic_gaussian,1.0,123,5,,personalized_logistic_regression,0.3090277777777778,0.30662470868137925,,
utility,analytic_gaussian,1.0,123,6,,personalized_logistic_regression,0.22916666666666666,0.22691996423134503,,
utility,analytic_gaussian,1.0,123,7,,personalized_logistic_regression,0.28125,0.28073873085082,,
utility,analytic_gaussian,1.0,123,8,,personalized_logistic_regression,0.2465277777777778,0.24592921689138755,,
utility,analytic_gaussian,1.0,123,9,,personalized_logistic_regression,0.28125,0.27961544895373114,,
utility,task_weighted_empirical,1.0,123,1,,personalized_logistic_regression,0.2361111111111111,0.2358940448124509,,
utility,task_weighted_empirical,1.0,123,2,,personalized_logistic_regression,0.22569444444444442,0.22474565212770575,,
utility,task_weighted_empirical,1.0,123,3,,personalized_logistic_regression,0.21875,0.2167033007156419,,
utility,task_weighted_empirical,1.0,123,4,,personalized_logistic_regression,0.2534722222222222,0.2527048115283409,,
utility,task_weighted_empirical,1.0,123,5,,personalized_logistic_regression,0.2743055555555556,0.2716503191600275,,
